Steps,array0,array1,array2
1,534,488,742
2,534,488,742
3,534,489,742
4,535,488,742
5,535,491,742
6,532,488,743
7,533,488,743
8,535,489,743
9,536,489,742
10,532,489,743
11,535,491,743
12,529,473,742
13,533,492,742
14,537,492,743
15,536,488,742
16,532,488,744
17,529,494,741
18,537,492,741
19,531,488,742
20,530,491,742
21,530,489,743
22,530,485,740
23,527,487,742
24,524,487,745
25,531,492,741
26,527,488,742
27,525,489,747
28,536,503,736
29,536,495,739
30,525,498,740
31,525,496,736
32,533,507,738
33,536,506,723
34,520,504,739
35,532,502,752
36,522,488,748
37,532,517,751
38,536,507,753
39,544,546,722
40,548,486,746
41,526,563,735
42,540,559,741
43,530,521,751
44,528,484,765
45,531,600,705
46,504,583,690
47,501,518,772
48,504,540,723
49,481,365,739
50,530,494,736
51,453,526,726
52,514,550,728
53,571,608,750
54,509,550,715
55,507,573,705
56,536,562,745
57,527,543,742
58,523,541,735
59,513,515,742
60,520,534,740
61,510,516,748
62,509,506,739
63,504,511,738
64,506,516,746
65,513,525,743
66,516,501,738
67,506,507,738
68,479,566,754
69,530,477,660
70,399,561,982
71,532,447,781
72,527,449,676
73,587,578,954
74,515,501,729
75,497,511,671
76,527,487,684
77,546,500,783
78,506,494,733
79,498,493,710
80,527,493,747
81,540,487,732
82,554,461,744
83,537,485,749
84,534,488,742
85,538,488,744
86,536,489,742
87,535,488,742
88,538,484,742
89,529,487,742
90,531,481,742
91,536,491,742
92,621,522,742
93,1010,588,736
94,1010,588,736
95,391,545,731
96,9,353,740
97,9,353,740
98,9,353,740
99,9,353,740
100,9,353,740
101,9,353,740
102,9,353,740
103,9,353,740
104,9,353,740
105,9,353,740
106,9,353,740
107,9,353,740
108,9,353,740
109,9,353,740
110,9,353,740
111,9,353,740
112,9,353,740
113,9,353,740
114,9,353,740
115,9,353,740
116,9,353,740
117,9,353,740
118,9,353,740
119,9,353,740
120,9,353,740
121,9,353,740
122,9,353,740
123,9,353,740
124,9,353,740
125,9,353,740
126,9,353,740
127,9,353,740
128,9,353,740
129,9,353,740
130,9,353,740
131,9,353,740
132,9,353,740
133,9,353,740
134,9,353,740
135,9,353,740
136,9,353,740
137,9,353,740
138,9,353,740
139,9,353,740
140,9,353,740
141,9,353,740
142,9,353,740
143,9,353,740
144,9,353,740
145,9,353,740
146,9,353,740
147,9,353,740
148,9,353,740
149,9,353,740
150,9,353,740
151,9,353,740
152,9,353,740
153,9,353,740
154,9,353,740
155,9,353,740
156,9,353,740
157,9,353,740
158,9,353,740
159,9,353,740
160,9,353,740
161,9,353,740
162,9,353,740
163,9,353,740
164,9,353,740
165,9,353,740
166,9,353,740
167,9,353,740
168,9,353,740
169,9,353,740
170,9,353,740
171,9,353,740
172,9,353,740
173,9,353,740
174,9,353,740
175,9,353,740
176,9,353,740
177,9,353,740
178,9,353,740
179,9,353,740
180,9,353,740
181,9,353,740
182,9,353,740
183,9,353,740
184,9,353,740
185,9,353,740
186,9,353,740
187,9,353,740
188,9,353,740
189,9,353,740
190,9,353,740
191,9,353,740
192,9,353,740
193,9,353,740
194,9,353,740
195,9,353,740
196,9,353,740
197,9,353,740
198,9,353,740
199,9,353,740
